comment,todaysWgt,sirename,racetime,record_1,L2comment,L5lbw,L1sp,L2racecourse,ClassL3,ClassL2,ClassL1,raceclass,L2pos,ClassL5,ClassL4,L4going,racecourse,L1dist,diomed,horsenumber,pedigreecomment,pmL3,pedstats,L5sp,sirecomment,L2raceoutcome,record_2_stats,L3dist,L3comment,timestamp,L5ran,L1going,L1pos,L4lbw,racepm,L3sp,record_3_stats,Family,L3pos,L3ran,L1raceoutcome,L1comment,CD,record_4_stats,L5comment,L5going,L4pos,record_1_stats,L5raceoutcome,DI,L3going,L2lbw,todaysWgt_dec,L2dist,L4dist,L1racecourse,WGTL3,WGTL2,WGTL1,racedate,record_5_stats,WGTL5,WGTL4,rpOR,L1lbw,dayssincelastrun,rpTS,racegoing,L3raceoutcome,racename,rpRPR,L4ran,L2ran,L1ran,L2going,L4sp,Pedprizemoney,pmL5,pmL4,L5pos,barrier,pmL2,L3lbw,record_4,record_5,record_2,record_3,L5dist,racedistance,horsename,L4comment,L3racecourse,hage,L2sp,bestodds,L4raceoutcome,pmL1,L4racecourse,L5racecourse
Failed to build on promising hurdle debut but could still do well back on the Flat.,,,4:50,Flat Turf,"in touch until weakened 3 out, behind when pulled up 2 out",3,7.0,Nby,C53yMdH 2K,C43yH 3K,C54yMdH 2K,  racinguk.com/anywhere 3 Devices 1 Price Handicap  (CLASS 5) (4yo+ 0-75) ,,C53yHc 3K,C53yHc 3K,Gd,Catterick,5.0,"  TRENDSETTER needs to get back on track after a couple of rather disappointing hurdle runs but remains unexposed on the Flat and, if a change of stable has done him good, he has the potential to progress from his Redcar win in the autumn. ",4,(CLOSE),2K,,6.0,"excelled over 6f-1m at 2-3, won Phoenix S, & Irish 2,000 Gns; very good sire, inc The Grey Gatsby",PU/10 (Zarib 10-12) 6/1,: :3:0:0:1:£0:£299: 39 : 100 : 113,5.0,"held up in rear, steady headway approaching 3 out, chasing leaders 2 out, 3rd last, kept on same pace",2015-04-08 10:04:48.301737,12,GS,6,,4K,1.0,": :8:1:1:1:£3,235:£4,713: - : - : -",,3,9,6/11 (36L Sebastian Beach 11-0) 16/1,"mid-division, headway approaching 4 out, soon outpaced by leaders, weakened 2 out",,,"held up towards rear, steady headway 3f out, ridden to chase winner over 1f out, driven and no impression final furlong",Sf,1,": :5:1:1:0:£3,235:£4,413: 65 : 80 : 75",2/12 (3L Thunder Pass 9-1) 25/1,,Sf,,,5.0,4.0,Chp,10-12,10-12,11-0,2015-04-08,,9-4,9-7,75,36,0,69,GS,3/9 (10.75L Officer Drivel 10-12) 10/1,  racinguk.com/anywhere 3 Devices 1 Price Handicap  (CLASS 5) (4yo+ 0-75) ,86,12,10,11,Sf,2.0,,3K,3K,2,4,3K,1¾,,,Hurdle,Rules Races,2.0,13.0,TRENDSETTER,"steadied and dropped in behind after start, held up in last trio, headway to chase leaders but not clear run 3f out, forced way through well over 1f out, soon driven to challenge, led inside final furlong, held on under pressure towards finish",Wet,4,7.0,,1/12 (hd Miss Tree 9-1) 13/2,2K,Red,Pon
Struggled in three handicaps and plenty to prove back on turf.,,,2:50,Flat Turf,"dwelt, soon ridden along and always in rear",7½,6.0,Sth,C62yHc 2K,C63yHc 2K,C63yHc 2K,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,7,C52yMdAc 2K,C42yMd 5K,Gd,Catterick,6.0,"  BELLE NELLIE , who is a sister to a useful sprinter, finished well when an improved third on her nursery debut in October and is an interesting contender under similar conditions on her return. Midnight Destiny has not really progressed but she chased home a handicap blot at Chelmsford on her reappearance last week and is respected back on turf. Studio Star comes with some risks attached but he is well treated if he can revive and his win was on slow ground. ",8,"Owner: Ceffyl Racing  Breeder: Darrell and Lendy BrownFoaled 24Mar12 TATNOV'12 10,000gns foal. TATSEP'13 21,000 EUR yrlg. Updated 16 Jun 2014(CLOSE)",2K,"(GB) b. C, 2012 {1-e} DP = 0-0-2-0-0 (2)  DI = 1.00  CD = 0.00 - 2 Starts, 0 Wins, 0 Places, 0 Shows   £289",4.0,"high-class multiple winning sprinter at 2 & 4, excellent source of precocious and speedy 2yos",7/7 (140.5L Air Of York 9-4) 16/1,: :2:0:0:0:£0:£0: 1 : 20 : 53,5.0,"press leaders until no extra under pressure over 1f out, soon weakened, eased inside final furlong",2015-04-08 10:04:48.004454,10,St,7,8,3K,1.0,: :6:0:0:0:£0:£289: - : - : -,,3,14,7/9 (140.5L Kyllach Me 8-12) b1 25/1,"chased leader, ridden and every chance over 2f out, weakened final furlong",0.00,,"led until ridden and headed over 1f out, weakened inside final furlong",GF,6,: :4:0:0:0:£0:£289: 42 : 58 : 53,7/10 (70.5L Fugleman 8-13) 3/1J,1.00,GS,14½,,5.0,5.0,Wol,9-3,9-2,9-2,2015-04-08,,9-4,9-5,53,14½,40,56,GS,13/14 (130.5L Wolfofwallstreet 9-7) 10/1,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,72,8,7,9,St,8.0,,2K,5K,7,5,2K,13½,,,All-weather,Rules Races,6.0,5.0,CHARLES MESSIER,"chased leaders, outpaced over 2f out, one pace final furlong",Red,3,7.0,,6/8 (8L Grandad's World 9-5) 7/1,2K,Pon,Crl
0-9 but big player if building on second at Chelmsford on return last week,,,2:50,Flat Turf,"slowly into stride, headway over 1f out, ridden and hung left inside final furlong, stayed on same pace",1,10.0,Lei,C52yHc 2K,C62yHc 2K,C53yHc 3K,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,3,C52yHc 3K,C62yHc 1K,GS,Catterick,5.0,"  BELLE NELLIE , who is a sister to a useful sprinter, finished well when an improved third on her nursery debut in October and is an interesting contender under similar conditions on her return. Midnight Destiny has not really progressed but she chased home a handicap blot at Chelmsford on her reappearance last week and is respected back on turf. Studio Star comes with some risks attached but he is well treated if he can revive and his win was on slow ground. ",5,State Bred: KY(CLOSE),2K,,3.0,"top-class sprint 2yo, winner of the Middle Park, retired at 2, excellent young sire",3/12 (20.25L Zipedeedodah 9-2) v 33/1,": :2:0:1:1:£0:£1,444: 45 : 54 : 56",5.0,"slowly into stride, held up, effort over 1f out, no extra inside final furlong",2015-04-08 10:04:47.985243,4,St,2,2,3K,2.0,": :9:0:2:4:£0:£3,945: - : - : -",,5,6,2/6 (4L Middle East Pearl 9-7) v 9/1,"went right start, raced in last pair, ridden and headway on inner over 1f out, stayed on inside final furlong to go 2nd final 50yds, no chance with winner",,,"raced freely, led, ridden 2f out, headed over 1f out, still every chance inside final furlong, held final 100yds",GS,3,": :7:0:1:3:£0:£2,502: 50 : 56 : 56",2/4 (1L Rise Up Lotus 9-2) 12/1,,Sf,2¼,,5.0,5.0,Cfd,7-13,9-1,8-8,2015-04-08,,8-0,9-5,56,4,7,61,GS,5/6 (5L Amber Crystal 9-3) v1 11/1,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,67,8,12,6,Gd,5.0,,3K,1K,2,11,2K,5,,,All-weather,Rules Races,5.0,5.0,MIDNIGHT DESTINY,"tracked leaders, effort and driven over 1f out, kept on same pace inside final furlong",War,3,4.0,,3/8 (2L Studio Star 9-1) 4/1,3K,Ncs,Hay
Poor form in six runs and last in 5f AW handicaps the last twice; now makes turf debut.,,,2:50,All-weather,"slowly into stride, held up, ridden halfway, weakened over 1f out",15,4.0,Wol,C62yHc 1K,C6Hc 2K,C53yHc 3K,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,8,C52yMd 2K,C52yMd 3K,St,Catterick,5.0,"  BELLE NELLIE , who is a sister to a useful sprinter, finished well when an improved third on her nursery debut in October and is an interesting contender under similar conditions on her return. Midnight Destiny has not really progressed but she chased home a handicap blot at Chelmsford on her reappearance last week and is respected back on turf. Studio Star comes with some risks attached but he is well treated if he can revive and his win was on slow ground. ",11,(CLOSE),1K,,1.0,"top-class sprinter at 3-5, also 2yo winner in Spain, 1/2 bro to 2yo winners; first 3yos 2015",8/8 (11L Lazy Sioux 9-0) 20/1,: :6:0:0:0:£0:£0: - : - : -,5.0,"took keen hold, tracked leading pair, shaken up on inner 1f out and found nil, faded tamely",2015-04-08 10:04:48.010436,7,St,6,14,3K,1.0,,,5,10,6/6 (15L Middle East Pearl 9-7) v1 33/1,"dwelt and slightly hampered leaving stalls, headway to chase leaders after 2f, lost place under pressure and beaten well over 1f out, soon weakened",,,"prominent, ridden along over 2f out, soon outpaced",St,1,: :6:0:0:0:£0:£0: 18 : 36 : 38,6/7 (15L Rita's Boy 9-5) 50/1,,St,11,,5.0,5.0,Cfd,7-13,8-4,7-11,2015-04-08,,8-7,8-7,45,15,7,0,GS,5/10 (30.5L Sparbrook 9-6) 50/1,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,57,11,8,6,St,1.0,,2K,3K,6,8,2K,3½,,,Rules Races,,5.0,5.0,AUNTIE DIF,"held up, pulled hard, behind from halfway",Kem,3,1.0,,11/11 (14L Equally Fast 9-5) 100/1,3K,Wol,Sth
Best efforts on Fibresand and bit to prove off this mark back on turf.,,,2:50,Flat Turf,"close up on outer, ridden along and slightly outpaced over 3f out, wide straight headway to chase leader 2f out, ridden and edged left over 1f out, driven and stayed on well final furlong to lead near finish",,3.0,Sth,C63yHc 2K,C63yHc 2K,C63yHc 2K,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,1,C62yHc 2K,C63yHc 2K,St,Catterick,6.0,"  BELLE NELLIE , who is a sister to a useful sprinter, finished well when an improved third on her nursery debut in October and is an interesting contender under similar conditions on her return. Midnight Destiny has not really progressed but she chased home a handicap blot at Chelmsford on her reappearance last week and is respected back on turf. Studio Star comes with some risks attached but he is well treated if he can revive and his win was on slow ground. ",2,(CLOSE),2K,,1.0,"precocious 2yo, smart sprinter at 4, fast family; first 3yos 2015",1/7 (nk Captain Future 9-1) 7/2,": :7:2:1:1:£4,852:£6,139: 53 : 60 : 60",5.0,"soon close up, led over 3f out, ridden along and headed over 2f out, soon driven and one pace",2015-04-08 10:04:47.979954,11,St,5,3,3K,3.0,": :13:2:1:1:£4,852:£6,307: - : - : -",,4,9,5/6 (60.25L Excelling Oscar 9-6) 9/4J,"close up, pushed along halfway, ridden on inner over 2f out, soon driven and weakened",,,"tracked leader on inner, headway 2f out, ridden to lead over 1f out, hung right entering final furlong, soon driven and kept on",St,4,: :6:0:0:0:£0:£168: 41 : 51 : 60,1/11 (nk Ifittakesforever 9-6) 10/1,,St,,,6.0,5.0,Sth,9-0,9-2,9-7,2015-04-08,,8-12,9-7,60,6¼,59,48,GS,4/9 (80.5L Ifittakesforever 9-7) 5/2,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,67,9,7,6,St,3.0,,2K,2K,1,2,2K,8½,,,All-weather,Rules Races,6.0,5.0,PANCAKE DAY,"led, headed over 3f out, chased winner 2f out, ridden and edged left over 1f out, no extra inside final furlong",Sth,3,4.0,,4/9 (3L Ya Halla 9-2) 15/2,2K,Wol,Sth
Strong-finishing third of 14 on nursery debut last time; open to more progress on return.,,,2:50,Flat Turf,"close up, slight lead after 1 1/2f, headed and ridden 2f out, gradually weakened approaching final furlong",,5.0,Not,C52yMd 3K,C52yMd 3K,C62yHc 2K,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,5,,C52yNv 6K,GF,Catterick,5.0,"  BELLE NELLIE , who is a sister to a useful sprinter, finished well when an improved third on her nursery debut in October and is an interesting contender under similar conditions on her return. Midnight Destiny has not really progressed but she chased home a handicap blot at Chelmsford on her reappearance last week and is respected back on turf. Studio Star comes with some risks attached but he is well treated if he can revive and his win was on slow ground. ",6,(CLOSE),3K,,,"smart 6-7f 3-5yo, closely related to Invincible Spirit; excellent source of early 2yos",5/9 (6L Just Us Two 9-5) 50/1,: :4:0:0:1:£0:£337: - : - : -,5.0,"midfield, headway over 2f out, ridden to chase leaders well over 1f out, soon driven and weakened",2015-04-08 10:04:47.986908,,GS,3,9¼,3K,1.0,,,6,14,3/14 (30.5L Wolfofwallstreet 9-7) 14/1,"pushed right start and slowly away, soon switched left, headway into midfield halfway, stayed on strongly under pressure final furlong, went 3rd close home, no threat to winner",,,,,5,: :4:0:0:1:£0:£337: 47 : 55 : 56,,,GF,6,,5.0,5.0,Red,9-0,8-9,8-12,2015-04-08,,,8-9,56,3½,163,58,GS,6/14 (80.25L Canny Kool 9-5) 20/1,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,66,6,9,14,GF,1.0,,,6K,,9,3K,8¼,,,Rules Races,,,5.0,BELLE NELLIE,"dwelt and went right start, headway over 2f out, edged right and weakened last 150yds",Bev,3,1.0,,5/6 (90.25L She's A Worldie 8-9) 20/1,2K,Bev,
Off since last summer and entitled to benefit from this outing.,,,4:50,Flat Turf,"mid-division, driven over 3f out, soon chasing leaders, weakened final furlong",1¾,1.0,Rip,C4Hc 6K,C4Hc 4K,C4Hc 4K,  racinguk.com/anywhere 3 Devices 1 Price Handicap  (CLASS 5) (4yo+ 0-75) ,6,C4Hc 4K,C4Hc 6K,Gd,Catterick,6.0,"  TRENDSETTER needs to get back on track after a couple of rather disappointing hurdle runs but remains unexposed on the Flat and, if a change of stable has done him good, he has the potential to progress from his Redcar win in the autumn. ",1,(CLOSE),6K,,5.0,"top-class 10f runner, gets high-class 2yos over 6-8f, better record with 3yo+, sire of Opinion Poll",6/8 (80.5L Almagest 10-0) 9/1,: :4:0:1:0:£0:£503: 68 : 69 : 75,6.0,"tracked leading pair on inner, pushed along 4f out, ridden 3f out, weakened well over 1f out",2015-04-08 10:04:48.295402,11,Gd,3,1½,4K,7.0,": :8:2:0:1:£5,987:£6,554: 64 : 108 : 108",,6,6,13/14 (16L Deauville Dancer 9-0) 40/1,"held up in rear, driven 4f out, soon behind",,": :36:5:6:3:£16,337:£24,733: - : - : -","held up, headway and every chance over 2f out, soon ridden, one pace inside final furlong",Sf,2,": :24:3:5:2:£10,350:£17,676: 77 : 85 : 75",3/11 (10.75L Moidore 9-7) 9/2,,Gd,8½,,6.0,8.0,Thi,9-10,9-8,9-12,2015-04-08,,9-5,9-10,75,16,222,81,GS,6/6 (37L Stopped Out 9-9) 6/1,  racinguk.com/anywhere 3 Devices 1 Price Handicap  (CLASS 5) (4yo+ 0-75) ,84,11,8,14,Gd,10.0,,4K,6K,3,3,4K,37,Rules Races,,All-weather,Hurdle,6.0,13.0,ROSAIRLIE,"held up in rear, headway 4f out, not clear run on inside over 2f out, stayed on to take 2nd last 150yds",Bev,7,10.0,,2/11 (10.5L Teak 9-2) 9/1,4K,Pon,Ncs
Six-race maiden; bit to prove again back from 117 days off and untried on slow turf.,,,2:50,Flat Turf,"chased leaders, ridden over 1f out, stayed on",5¾,7.0,Wol,C62yHc 2K,C62yHc 2K,C62yHc 2K,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,4,C52yMd 3K,C52yMd 2K,Gd,Catterick,5.0,"  BELLE NELLIE , who is a sister to a useful sprinter, finished well when an improved third on her nursery debut in October and is an interesting contender under similar conditions on her return. Midnight Destiny has not really progressed but she chased home a handicap blot at Chelmsford on her reappearance last week and is respected back on turf. Studio Star comes with some risks attached but he is well treated if he can revive and his win was on slow ground. ",9,(CLOSE),2K,,1.0,"high-class sprinter, decent source of fast, precocious 2yo winners inc. Winker Watson",4/10 (1L True Course 9-4) p 50/1,: :3:0:0:0:£0:£156: 45 : 49 : 49,5.0,prominent until hung right and lost place over 3f out,2015-04-08 10:04:48.006625,11,St,6,14½,3K,7.0,: :6:0:0:0:£0:£156: - : - : -,,3,13,6/11 (50.25L True Course 9-2) p 16/1,"edged right start, soon pushed along to chase leaders, ridden halfway, edged left, weakened and eased inside final furlong",,,"in rear, headway over 1f out, never near leaders",GF,0,: :3:0:0:0:£0:£0: 34 : 45 : 49,7/11 (50.75L Zebelini 9-0) 200/1,,St,1,,5.0,6.0,Wol,8-9,8-5,8-5,2015-04-08,,9-0,9-0,49,5¼,117,52,GS,13/13 (160.5L Toni's A Star 8-6) 16/1,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,67,13,10,11,St,1.0,,3K,2K,7,4,2K,16½,,,All-weather,Rules Races,5.0,5.0,LYDIATE LADY,always towards rear,Wol,3,1.0,,10/13 (140.5L Mistrusting 9-0) 100/1,2K,Hay,Rip
0-18 on the Flat and not seen since July; others preferred.,,,4:50,Flat Turf,"in touch, headway on inner 3f out, ridden to chase leaders well over 1f out, kept on one pace approaching final furlong",3½,7.0,Cat,C6Hc 3K,C6NvHc 2K,C3HcH 6K,  racinguk.com/anywhere 3 Devices 1 Price Handicap  (CLASS 5) (4yo+ 0-75) ,3,C6Hc 2K,C6Hc 2K,GF,Catterick,5.0,"  TRENDSETTER needs to get back on track after a couple of rather disappointing hurdle runs but remains unexposed on the Flat and, if a change of stable has done him good, he has the potential to progress from his Redcar win in the autumn. ",9,(CLOSE),3K,,6.0,"lightly raced, smart 6-7f 2yo, won 2000 Guineas on only start at 3; capable of siring good 2yos",3/14 (80.75L Hyperlink 11-7) 12/1,": :5:0:1:0:£0:£2,043: 60 : 72 : 59",2.0,"held up in touch, headway 3f out, ridden along 2f out, driven and kept on same pace approaching final furlong",2015-04-08 10:04:48.313085,8,Gd,4,11,4K,1.0,": :5:1:0:1:£3,249:£4,222: 93 : 102 : 108",,3,9,4/7 (25L Cool Baranca 9-9) 16/1,"in rear, headway approaching 3 out, chasing leaders next, not fluent last, soon weakened",,": :23:1:2:5:£3,249:£9,505: - : - : -","tracked leaders, effort and disputed second place over 1f out to well inside final furlong, kept on same pace",GS,6,": :13:0:1:4:£0:£3,240: 66 : 77 : 59",3/8 (30.5L Voice From Above 7-12) 5/1,,GF,8¾,,2.0,4.0,Crt,9-3,11-2,9-7,2015-04-08,,9-7,9-4,59,25,0,68,GS,3/9 (50.25L Dabuki 9-7) 11/4F,  racinguk.com/anywhere 3 Devices 1 Price Handicap  (CLASS 5) (4yo+ 0-75) ,84,12,14,7,GF,6.0,,2K,2K,3,5,2K,5¼,Rules Races,,All-weather,Hurdle,3.0,13.0,ROCKABILLY RIOT,"tracked leaders, headway over 3f out, ridden along 2f out, soon driven and no impression",Cat,5,3.0,,6/12 (11L Hot Spice 9-4) 5/1,6K,Red,Ham
Bit risky but well treated if he can revive and his win was on slow ground.,,,2:50,Flat Turf,"chased leaders, pushed along over 2f out, soon weakened",2¼,7.0,Wol,C62yHc 2K,C6Sl 1K,C63yHc 2K,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,7,C62ySl 3K,C62yCl 2K,GF,Catterick,5.0,"  BELLE NELLIE , who is a sister to a useful sprinter, finished well when an improved third on her nursery debut in October and is an interesting contender under similar conditions on her return. Midnight Destiny has not really progressed but she chased home a handicap blot at Chelmsford on her reappearance last week and is respected back on turf. Studio Star comes with some risks attached but he is well treated if he can revive and his win was on slow ground. ",4,(CLOSE),2K,,6.0,"high-class sprint 2yo, r-up in Duke Of York S. at 3, 1/2 to Camacho; very good start with first 2yos",7/7 (16L Ocean Legend 9-4) 28/1,: :2:0:0:0:£0:£192: 40 : 46 : 58,6.0,"stumbled start, switched left after start, in rear, some headway on inside when hampered just inside final furlong, soon eased",2015-04-08 10:04:47.983428,9,St,4,2¼,3K,8.0,": :9:1:0:2:£1,941:£3,118: - : - : -",,0,10,4/7 (5L Ya Halla 9-0) p 16/1,"close up, ridden along 2f out, every chance until driven and one pace approaching final furlong",,,"with leader, led over 2f out, headed inside final furlong, kept on same pace",Gd,5,": :7:1:0:2:£1,941:£2,925: 52 : 63 : 58",3/9 (20.25L Black Pudding 9-2) p 5/1,,GS,16,,6.0,5.0,Sth,9-3,7-10,9-1,2015-04-08,,9-2,8-10,58,5,28,61,GS,10/10 (140.5L Alaskan Wing 8-13) p 7/1,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,72,13,7,7,St,3.0,,3K,2K,3,7,1K,14½,,,All-weather,Rules Races,6.0,5.0,STUDIO STAR,"in touch, ridden along and headway over 1f out, driven inside final furlong, kept on, nearest finish",Cat,3,9.0,,5/13 (20.25L Mecca's Mirage 8-7) p 12/1,2K,Bev,Rip
Lightly raced and well treated on old form but questions to answer on return for new yard,,,4:20,Flat Turf,"tracked leaders, 3rd halfway, took closer order in 2nd into straight, soon pushed along and no impression on winner under pressure inside final furlong, kept on same pace",14,8.0,Dun,2yHc 5K,2yHc 5K,5K,  catterickbridge.co.uk Handicap  (CLASS 5) (4yo+ 0-75) ,2,2y 5K,2y 8K,Hy,Catterick,5.0,"  PLAYTOTHEWHISTLE has been a big improver with a visor applied on Fibresand recently and is well treated under a penalty if he can transfer his progress back to turf. Slingsby finished second on his final five runs last year and could go well again on his return, while C&D winner True Pleasure is well treated if she can recapture form dropped back in trip/grade. Piceno also needs to revive but he bounced back with an all-the-way win in this race last year. ",9,,5K,,4.0,"fair 2yo, later top-class over 5f, good sire, capable of siring fast, precocious 2yos, & sprinters",2/8 (10.5L Dark Skies 9-9) 9/4F,": :2:0:2:0:£0:£2,602: 67 : 77 : 67",7.0,"tracked leaders on inner, progress into 3rd 3f out, switched right under 2f out, stayed on well into 2nd inside final furlong, closing strongly on winner at finish",2015-04-08 10:04:47.973979,14,Y,1,33,4K,7.0,": :6:0:2:0:£0:£2,602: - : - : -",,2,14,11/13 (100.5L Chiclet 9-0) 7/1,"chased leaders, pushed along in 5th from halfway and no impression on winner, weakened final furlong",,,"chased leaders early, close 5th halfway, ridden in 6th and no impression 1 1/2f out, one pace final furlong, eased",Y,8,: :4:0:0:0:£0:£0: 25 : 65 : 64,10/14 (14L Hurryupharriet 9-0) 7/2,,St,1½,,6.0,7.0,Nav,9-4,9-8,9-5,2015-04-08,,9-5,9-5,64,10½,182,43,GS,2/14 (hd Caso Do Lago 8-10) 6/1,  catterickbridge.co.uk Handicap  (CLASS 5) (4yo+ 0-75) ,85,9,8,13,St,7.0,,5K,8K,0,8,5K,,,,All-weather,Rules Races,5.0,7.0,BEAUTY´S FORTE,"chased leaders, close 5th halfway, pushed along and no impression from 3f out, weakened into straight",Dun,4,3.0,,8/9 (33L Shining Emerald 9-5) 16/1,No PM,Lis,Tip
Tailed off when market springer latest and bit to prove on handicap debut after a break.,,,2:50,Flat Turf,"slowly into stride, soon pushed along in rear, ran on inside final furlong, not trouble leaders",,6.0,Wol,C52yMdAc 3K,C52yMd 2K,C5Md 3K,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,8,,,,Catterick,6.0,"  BELLE NELLIE , who is a sister to a useful sprinter, finished well when an improved third on her nursery debut in October and is an interesting contender under similar conditions on her return. Midnight Destiny has not really progressed but she chased home a handicap blot at Chelmsford on her reappearance last week and is respected back on turf. Studio Star comes with some risks attached but he is well treated if he can revive and his win was on slow ground. ",3,"Breeder: LUIS ANTONIO RIBEIRO PINTO Winnings: 21 Starts: 1 - 0 - 621 starts (21 Gávea)    1 win (1 Gávea)    6 places (6 Gávea), BRZ.(CLOSE)",3K,"(BRZ) ch. C, 1999 {9} DP = 5-2-17-2-0 (26)  DI = 1.48  CD = 0.38 - 21 Starts, 1 Wins, 0 Places, 6 Shows",,"high-class sprint 2yo, r-up in Duke Of York S. at 3, 1/2 to Camacho; very good start with first 2yos",8/9 (40.75L Exceedingly 9-0) 18/1,: :2:0:0:0:£0:£0: 40 : 57 : -,6.0,"held up in touch, ridden halfway, weakened over 1f out",2015-04-08 10:04:47.981597,,St,9,,3K,2.0,: :3:0:0:0:£0:£0: - : - : -,,7,10,9/10 (27L Grosmont 8-10) 5/1,prominent until ridden and weakened over 2f out,0.38,,,,,: :1:0:0:0:£0:£0: 21 : 52 : 58,,1.48,GF,4¾,,5.0,,Wol,9-3,9-5,8-10,2015-04-08,,,,58,27,83,30,GS,7/10 (80.75L Mythmaker 9-1) 13/2,  yorkshire-outdoors.co.uk Adventure Activities Handicap  (CLASS 6) (3yo 0-60) ,66,,9,10,St,,,,,,1,2K,8¾,,,All-weather,Rules Races,,5.0,SHOW BOAT,,Red,3,9.0,,,3K,,
Good third in quite valuable 1m4f course handicap here in September.,,,4:50,Flat Turf,"close up, ridden over 3f out, weakened 2f out",6¾,5.0,Ayr,C3Hc 12K,C5Hc 3K,C2Hc 12K,  racinguk.com/anywhere 3 Devices 1 Price Handicap  (CLASS 5) (4yo+ 0-75) ,6,C4Hc 9K,C6Sl 2K,Sf,Catterick,2.0,"  TRENDSETTER needs to get back on track after a couple of rather disappointing hurdle runs but remains unexposed on the Flat and, if a change of stable has done him good, he has the potential to progress from his Redcar win in the autumn. ",5,(CLOSE),12K,,6.0,"top-class Australian 3yo over 7-8f, only season to race; fair start with first N. Hem 2yos 2008",6/7 (26L Gold Chain 8-6) 4/1,": :13:1:3:0:£4,209:£7,313: 67 : 86 : 68",2.0,"prominent on inner, pushed along over 3f out, ridden over 2f out, gradually weakened",2015-04-08 10:04:48.303832,15,Gd,3,8,4K,1.0,": :46:7:7:5:£30,693:£44,477: - : - : -",,6,10,3/9 (2L Poetic Verse 8-8) p 14/1,"chased leaders, headway on outer and close up halfway, ridden to lead lead briefly 2f out, soon headed and driven, kept on same pace final furlong",,,"tracked leaders, effort over 2f out, one pace",GS,1,": :33:6:4:5:£26,484:£37,163: 95 : 94 : 68",7/15 (60.75L Streets Of Newyork 8-10) 25/1,,Gd,26,,3.0,4.0,Cat,9-8,9-7,8-3,2015-04-08,,8-2,8-12,68,2,200,66,GS,6/10 (12L Pearl Castle 10-13) 10/1,  racinguk.com/anywhere 3 Devices 1 Price Handicap  (CLASS 5) (4yo+ 0-75) ,85,4,7,9,GF,1.0,,9K,2K,7,6,3K,12,,,All-weather,Rules Races,2.0,13.0,SHERMAN MCCOY,"tracked leader, led halfway, ridden along 3f out, stayed on and clear final 2f",Yor,9,5.0,,1/4 (8L English Summer 8-9) 1/4F,12K,Cat,Yor
